specie;sex;birth_time;death_time;age;max_stamina;max_energie;max_health;max_speed;view_dist;scout_pattern;generation;fearful;patient;eater;reproductive;sociable
Meles meles;Male;72240;105460;33220;-67.44910650358034;576000.0;384.0;0.5760000000000001;172.8;[-0.24002915159697763];3;0.20777932528596776;0.4167112556279491;0.7971392936218431;0.9313762734582844;0.3106860544182591
Cervus elaphus;Femelle;72380;136820;64440;142.76323473580513;2106000.0;720.0;0.6960000000000002;288.0;[-0.07988315511291505, 0.09937300013315786, 0.2332466741375478, 0.5643421201940296];3;0.23928321319938428;0.5823997772894809;0.8163155712211263;0.7919521560950397;0.33887328633585134
Cervus elaphus;Femelle;72390;80840;8450;-93.32076526419488;2106000.0;720.0;0.6960000000000002;288.0;[-0.11316971290111173, 0.20656034801614723, 0.47393295395176843];3;0.16776427995318088;0.5101417654730563;0.7658053161445574;0.9881858582182766;0.19052442752999854
Cervus elaphus;Femelle;72390;73300;910;-329.33437326419494;2106000.0;720.0;0.6960000000000002;288.0;[-0.10765640984783365, 0.13577094324460232, 0.22082425320406374, 0.5837585081260275, 0.5841459868973511, 0.5701463568055637];3;0.474446704274086;0.4422106800084402;0.8489654760156227;0.8120546641360995;0.49041743682898986
Cervus elaphus;Male;72650;127370;54720;161.7169812851839;2106000.0;720.0;0.6960000000000002;288.0;[-0.0829788743479652, -0.0563010198476987, 0.28068885386112397, 0.23438378559780595];3;0.4785213495357914;0.26801320194216577;0.8368530831572651;0.8754458008808154;0.34498626598212806
Cervus elaphus;Femelle;72650;101970;29320;-74.3670187148161;2106000.0;720.0;0.6960000000000002;288.0;[-0.14275775137603494, 0.23151801786815696, 0.4397580744354521];3;0.3349108029467992;0.5170637097696668;0.7487202450322129;0.7713984368340618;0.45057514490526474
Cervus elaphus;Femelle;72650;73560;910;-310.3806267148161;2106000.0;720.0;0.6960000000000002;288.0;[-0.1489483482757788, 0.05963977413168553, 0.43603529411909137];3;0.370698844494642;0.27488524357129723;0.9758455214486286;0.9791016994883448;0.431781991163504
Vulpes vulpes;Male;72660;105860;33200;21.714028038405992;640000.0;320.0;1.24;288.0;[-0.10335654257893999, 0.14634633419007592, 0.3852053516260252, 0.5779694761458144, 0.47083532359813074];2;0.3413156841415398;0.5651323500648652;0.8529748065981934;0.8417194478699586;0.49228987474992375
Vulpes vulpes;Femelle;72660;74270;1610;-134.28597196159402;640000.0;320.0;1.24;288.0;[-0.056947575077900894, 0.13051945396622627, 0.48079004386625845];2;0.4858909016304039;0.5872393810321449;0.8429812932350225;0.8513173247237863;0.4384194175612377
Cervus elaphus;Femelle;72820;111020;38200;143.20035347503995;2012400.0;688.0;0.6864000000000001;275.2;[-0.2542743709862579, 0.0879874475263559, -0.08544561714599694];4;0.3091159681469978;0.5243878369642538;0.7189595030891578;0.9422835721175041;0.4553898080600087
Cervus elaphus;Male;72820;114620;41800;138.38286382121314;2012400.0;688.0;0.6864000000000001;275.2;[-0.10361080496176947, 0.12609141148744746, 0.3019563321019262, 0.7239884028599272, 0.6293120024316129];4;0.31351962711893144;0.452279994184819;0.6835555911035265;0.8857768175242985;0.06381764967708065
Cervus elaphus;Male;72820;80920;8100;-92.88124652496003;2012400.0;688.0;0.6864000000000001;275.2;[-0.24665409219237566, -0.019848262771318792, -0.16027589488539237];4;0.23082366133442145;0.3999437210283586;0.6051029725813521;0.7052099935096894;0.322633815833159
Cervus elaphus;Femelle;72820;80560;7740;-97.61713617878691;2012400.0;688.0;0.6864000000000001;275.2;[-0.17271129463761659, 0.14158839897101766, 0.33707857994354584, 0.6152200796344612, 0.4725200034840644];4;0.3422132158398017;0.38667332893311157;0.6648064631083133;0.7267138254633516;0.12073630691612239
Cervus elaphus;Male;72830;73730;900;-328.89446572496007;2012400.0;688.0;0.6864000000000001;275.2;[-0.008688827095998676, 0.08158388848228801, 0.33628083148420695];4;0.38015351676189857;0.5309383117067745;0.6509619430573685;0.5696763035532558;0.4886474873958106
Cervus elaphus;Femelle;72830;73730;900;-333.61713617878695;2012400.0;688.0;0.6864000000000001;275.2;[-0.052492294312498, 0.2468172206670122, 0.395566342313156];4;0.3595604515519693;0.46234222933916946;0.8148463968158006;0.6137873215228358;0.04443953406503978
Canis lupus lupus;Femelle;72920;153880;80960;-8.163065280125876;2106000.0;1080.0;0.8160000000000001;288.0;[-0.05646530576178421, 0.21828389196531808, 0.34596780252263293, 0.7082146786043729, 0.7019488044024036];3;0.458398469952474;0.562270225901621;0.7953747867689493;0.8440911809463001;0.23823378073117513
Vulpes vulpes;Male;73010;119490;46480;153.9512399999968;640000.0;320.0;1.24;288.0;[-0.18690095838135892, 0.2401708194238072, 0.42315655876130104];2;0.4424385646577092;0.5249737190275414;0.8500360748460472;0.9652968549358452;0.4144773313134346
Vulpes vulpes;Femelle;73010;81320;8310;37.9512399999968;640000.0;320.0;1.24;288.0;[-0.1944095057393642, 0.16599406412643378, 0.3426007287026303, 0.6573975737378931, 0.5227241152279393];2;0.3661588648082578;0.4536262967635666;0.9978500341232054;0.9226840395032094;0.3390674248678807
Vulpes vulpes;Male;73010;103330;30320;-78.0487600000032;640000.0;320.0;1.24;288.0;[-0.10258067670063196, 0.21380112565581727, 0.3654524141451324, 0.5975703143162414, 0.48276484807583225];2;0.34891091911953714;0.46236497556023537;0.8522652616733959;0.8325474299890654;0.40823540829746835
Meles meles;Male;73550;106770;33220;-75.37076570795365;576000.0;384.0;0.5760000000000001;172.8;[-0.1794050263353194, -0.214914053281511];3;0.22946398573747168;0.3791273955682818;0.899849508315455;0.8030850208260054;0.15631865276469115
Cervus elaphus;Male;73690;134500;60810;453.50197653432446;2340000.0;800.0;0.8400000000000001;320.0;[-0.12768203453167978, 0.16891838573744833, 0.3954316584150783, 0.6047462292154895, 0.4319405771252287];2;0.42128298512808293;0.46143587327454233;0.8661192458793587;0.9368364458218943;0.30378601985815734
Cervus elaphus;Femelle;73690;110300;36610;213.38197653432445;2340000.0;800.0;0.8400000000000001;320.0;[-0.14542895426311248, 0.05795992058844787, 0.4496488382566833];2;0.4641762618149872;0.5486885282813809;0.8195226758296319;0.9222322364363499;0.44350118775603004
